question,answer,category
How do I register?,Click Register and fill in your details.,Account
How do I login?,Enter your email and password.,Account
How do I logout?,Click the Logout button.,Account
How do I change my email?,Go to Profile Settings and update your email.,Account
How do I update my profile?,Open Profile and edit your details.,Account
How do I reset my password?,Use Forgot Password.,Password
I forgot my password what should I do?,Reset it using Forgot Password.,Password
Why is my password not working?,Check case sensitivity and try again.,Password
Can I change my password?,Yes from Account Settings.,Password
How do I create a ticket?,Use the Create Ticket page.,Tickets
How do I view my tickets?,Open My Tickets.,Tickets
How do I close a ticket?,Click Close Ticket.,Tickets
How do I reopen a ticket?,Contact support or use Reopen option.,Tickets
What is ticket priority?,Priority defines urgency.,Tickets
How do I contact support?,Submit a support ticket.,Support
What are support hours?,Support is available during business hours.,Support
How do I upload a document?,Use the Upload button.,Knowledge Base
How do I search documents?,Use the search box.,Knowledge Base
How do I download documents?,Click Download.,Knowledge Base
Why can't I access a document?,Check your permissions.,Knowledge Base
Why is the system slow?,Check your network connection.,System
How do I clear browser cache?,Use browser settings.,System
Which browsers are supported?,"Chrome, Edge, and Firefox.",System
Can I use mobile access?,Yes if enabled by admin.,System
How do I report a bug?,Create a support ticket.,Support
How do I book a meeting room?,Use room booking system.,Facilities
AC is not working,Raise a facilities ticket.,Facilities
How do I request office cleaning?,Submit facilities request.,Facilities
How do I request a parking pass?,Contact facilities team.,Facilities
How do I report a water leak?,Raise urgent facilities ticket.,Facilities
How do I request office supplies?,Submit facilities request form.,Facilities
How do I access the building after hours?,Request access card permissions.,Facilities
How do I report broken furniture?,Create facilities maintenance ticket.,Facilities
How do I request workstation relocation?,Submit facilities request.,Facilities
How do I report lighting issues?,Raise facilities ticket.,Facilities
How do I request visitor access?,Use visitor management system.,Facilities
How do I request office keys?,Contact facilities administrator.,Facilities
How do I book a conference room?,Use meeting room reservation portal.,Facilities
How do I report cafeteria issues?,Raise facilities feedback ticket.,Facilities
How do I request ergonomic equipment?,Submit facilities request ticket.,Facilities
How many annual leave days do I have?,Refer to HR policy handbook.,HR
How do I apply for leave?,Submit leave request through HR portal.,HR
How do I download payslips?,Login to employee portal and open payroll section.,HR
How do I update bank details?,Contact HR with updated bank information.,HR
What is maternity leave policy?,Refer to company leave policy document.,HR
What is paternity leave policy?,Refer to HR handbook.,HR
How do I apply for work from home?,Submit request through HR portal.,HR
How do I update emergency contact details?,,
How do I submit reimbursement claims?,Use reimbursement module in HR system.,HR
How do I request an experience letter?,Raise HR request ticket.,HR
How do I update personal information?,Edit profile in employee portal.,HR
What is the notice period?,Refer to employment agreement.,HR
How do I apply for internal transfer?,Contact HR business partner.,HR
How do I access company policies?,Visit employee knowledge portal.,HR
How do I report workplace issues?,Contact HR or raise confidential complaint.,HR
How do I reset my password?,Use the Forgot Password option on the login page.,IT
How do I connect to VPN?,Open VPN client and login using company credentials.,IT
My VPN is not working,Restart VPN client and check internet connection.,IT
How do I unlock my account?,Contact IT support to unlock your account.,IT
How do I install company software?,Raise an IT ticket and request software installation.,IT
How do I configure Outlook?,Use company email settings provided by IT.,IT
How do I access shared drives?,Connect to company network and map shared drives.,IT
My laptop is running slow,Restart the device and clear temporary files.,IT
How do I update Windows?,Open Settings and check for updates.,IT
How do I connect to office WiFi?,Use your employee credentials.,IT
Printer is not working,Restart printer and check network connection.,IT
How do I request a new laptop?,Create an IT asset request ticket.,IT
How do I change my email signature?,Update signature from Outlook settings.,IT
How do I access Microsoft Teams?,Login using your company email account.,IT
How do I recover deleted files?,Contact IT support immediately.,IT
How do I install a VPN client?,Download from company portal and install.,IT
How do I access remote desktop?,Use VPN and remote desktop credentials.,IT
How do I report phishing emails?,Forward suspicious emails to IT security.,IT
How do I request software access?,Submit an IT access request ticket.,IT
How do I change my password?,Use Ctrl+Alt+Delete and select Change Password.,IT
How do I change my email password?,Change it through the company password management portal.,IT
How do I request a new laptop?,Submit a hardware request ticket.,IT
How do I request a new monitor?,Create an IT hardware request.,IT
How do I request a keyboard?,Submit a hardware replacement request.,IT
How do I request a mouse?,Submit a hardware replacement request.,IT
My laptop battery drains quickly.,Reduce screen brightness and contact IT if the issue persists.,IT
My laptop is frozen.,Press Ctrl+Alt+Delete and restart the device.,IT
How do I connect to a projector?,Use an HDMI cable or wireless display option.,IT
How do I install a printer?,Download the approved printer driver and follow setup instructions.,IT
How do I scan a document?,Use the office scanner or multifunction printer.,IT
How do I recover deleted files?,Check the recycle bin or contact IT support.,IT
